"Codice","Descrizione","QtaGiac"
"DP002G025","Eco-Bagnodoccia in polvere - energizzante e tonific (MANDARINO E VITAMIN) (25 g)","0.00"
"DP003G025","Eco-Shampoo in polvere - rinforzante e idratante (COCCO & ACIDO IALURONI) (25 g)","1380.00"
"DP004G025","Eco-Shampoo in polvere - lucidante e seboregolatore (TEA TREE) (25 g)","3672.00"
"DP005G025","Eco-Sapone mani in polvere - addolcente e nutriente (POMPELMO & MAND. DO (25g) ","3.00"
"DP006G025","Eco-Sapone mani in polvere - rinfrescante e igienizzante (TEA TREE & LAV (25 g) ","2315.00"
"DP007G008","Acqua micellare in polvere viso occhi labbra (8,5g)","1683.00"
"DS001M040","Biodeo Solido Sweet Hug - floreale (40 g)","2932.00"
"DS002M040","Biodeo Solido Cotton Cloud - neutro (40 g)","4715.00"
"DS003M040","Biodeo Solido Himalaya - fresco (40 g)","2817.00"
"DS004M040","Biodeo Solido Summer Crush - tropicale (40 g)","4195.00"
"DV001M200","Acqua micellare rosa, fiordaliso e prebiotici (200 ml)","2997.00"
"DV002M050","Olio gel struccante (50 ml)","6840.00"
"EC004M030","Conservante NOBACT (10 ml)","308.00"
"EM001G025","Alcool cetilstearilico (25 g)","79.00"
"EM002G025","Autoemulsionante (25 g)","81.00"
"EM003G025","Glyceryl Stearate (25 g)","89.00"
"EM005G100","Cera di ricino (100 g)","69.00"
"EM006G025","Olivem 1000 (25 g)","345.00"
"ES002M030","Acido lattico (30 ml)","70.00"
"ES007M030","Estratto liposolubile di edera (30 ml)","810.00"
"ES008M030","Estratto liposolubile di ginkgo (30 ml)","476.00"
"ES009M030","Estratto liposolubile di rusco (30 ml)","656.00"
"ES010M030","Estratto glicerico di ortica bio (30 ml)","369.00"
"ES011M030","Estratto glicerico uva rossa bio (30 ml)","521.00"
"ES012G050","Mandorla micronizzata 400-800 (50 g)","122.00"
"ES012L001","Gel di aloe bio (1 L)","74.00"
"ES012M100","Gel di aloe bio (100 ml)","808.00"
"ES013G050","Mandorla micronizzata 180-400 (50 g)","65.00"
"ES014M030","Estratto liposolubile di arnica (30 ml)","622.00"
"ES015M030","Estratto liposolubile di calendula (30 ml)","416.00"
"ES016G050","Ossido di zinco (50 g)","206.00"
"ES016M030","Estratto liposolubile di carota (30 ml)","541.00"
"ES017M030","Proteine del grano (25 g)","62.00"
"ES019M100","Vitamina E naturale (100 ml)","254.00"
"ES022M030","Estratto glicerico di zenzero (30 ml)","278.00"
"ES023M025rp","Vitamina E naturale (25 ml) R-PET","2231.00"
"ES024M025","Solubilizzante naturale (25 ml)","83.00"
"ES025M025","Vitamina E acetato (25 ml)","223.00"
"EV001G100","Burro di cacao (100 g)","181.00"
"EV003M100","Caprylic Capric Triglyceride (100 ml)","161.00"
"EV006G100","Cera di soia (100 g)","200.00"
"EV020M250","Burro di karité biologico (250 ml)","733.00"
"FC001M150","Fitocell Out - Crema forte inestetismi cellulite (150 ml)","898.00"
"HV004P004","Viso - Cofanetto Holiday Vibes:  Mousse Mirtilla & Acido Ialuronico  ","0.00"
"HV006P003","Mani - Cofanetto Zero Waste: Crema mani e unghie & Flacone all e sapone pompelmo","0.00"
"HV007P002","Nuvola - Cofanetto viso: Fascia capelli + Mousse mirtilla","178.00"
"HV008P003","Mediterraneo - Cofanetto mani e corpo: Crema mani Menta&limone+Bagnod&Sapone Med","4.00"
"HV009P004","Mandorle&Frutti rossi - Cofanetto feste: Lipgloss+Cr corpo+Cr mani+Limetta festa","32.00"
"ID011M100","Idrolato camomilla bio Re-Bottle spray (100 ml)","2757.00"
"ID012M100","Idrolato rosa bio Re-Bottle spray (100 ml)","7485.00"
"ID013M100","Idrolato fiori d'arancio bio Re-Bottle spray (100 ml)","2198.00"
"ID014M100","Idrolato lavanda bio Re-Bottle spray (100 ml)","2943.00"
"ID015M100","Idrolato salvia bio Re-Bottle spray (100 ml)","1109.00"
"ID016M100","Idrolato hamamelis bio Re-Bottle spray (100 ml)","3323.00"
"ID017M100","Idrolato rosmarino bio Re-Bottle spray (100 ml)","3883.00"
"ID018M100","Idrolato elicriso bio Re-Bottle spray (100 ml)","2332.00"
"ID019M100","Idrolato geranio bio Re-Bottle spray (100 ml)","1259.00"
