,Key,Quantità_x,Quantità_y,Differenza
6690,Maticao VIOLETTA - balsamo labbra temperabile  (box segnalibro)__DISTRIBUTORI__ITALIA,910.0,20458.351729225138,0.044480611734719955
6748,Maxi Detergente intimo - bardana e calendula (1000 ml)__E-RETAILERS__AUSTRIA,192.0,898.8660235629952,0.21360246684921455
6760,Mediterraneo - Cofanetto mani e corpo: Crema mani Menta&limone+Bagnod&Sapone Med__BIOSTORIE__ITALIA,328.0,17220.00008199996,0.019047618956916146
6762,Mediterraneo - Cofanetto mani e corpo: Crema mani Menta&limone+Bagnod&Sapone Med__DISTRIBUTORI__ITALIA,224.0,5040.001641108339,0.04444442997259432
6874,Niacinamide + Zinco (30 ml)__CATENA DI NEGOZI__ITALIA,3960.0,24949.98856350134,0.15871750762214681
6922,Nuvola - Cofanetto viso: Fascia capelli + Mousse mirtilla__BIOSTORIE__ITALIA,403.0,21157.50010074995,0.019047618956916146
7023,OE rosmarino BIO (10 ml)__E-RETAILERS__ITALIA,378.0,1398.2308962349273,0.27034161597906026
7120,Olio di argania spinosa bio (50 ml)__E-RETAILERS__ITALIA,374.0,3787.607468748014,0.0987430727935556
7358,Olio di mandorle dolci bio (100 ml)__LASAPONARIA E-COMMERCE__ITALIA,876.0,5329.59755838367,0.1643651308384471
7536,Olio essenziale di Timo (10 ml)__E-RETAILERS__ITALIA,120.0,1622.0990079916833,0.07397822167992797
7561,Olio essenziale di arancio dolce (100 ml)__E-RETAILERS__AUSTRIA,110.0,444.31457682835986,0.24757234116695062
7573,Olio essenziale di citronella (100 ml)__E-RETAILERS__AUSTRIA,160.0,732.0000000000001,0.21857923497267756
7647,Olio essenziale di rosmarino (100 ml)__E-RETAILERS__AUSTRIA,233.0,1214.7888429349305,0.1918028810974851
7677,Olio gel struccante (50 ml)__DISTRIBUTORI__ITALIA,348.0,1567.184963970592,0.2220541978135838
7812,Patch occhi in silicone Eyestar__DISTRIBUTORI__REPUBBLICA CECA,240.0,900.0012278196812,0.26666630286873894
7847,Peeling AHA attivo puro (30 ml)__E-RETAILERS__ITALIA,3358.0,11554.511076865883,0.290622422503302
7919,Peptidi + Sacha Inchi Attivo Puro (30 ml)__E-RETAILERS__ITALIA,4691.0,16609.162030639352,0.2824344775098461
8680,Scrub corpo - ZENZERO & ALBICOCCA (scacciando via ogni pensiero grigio) (75 ml)__BIOSTORIE__ITALIA,779.0,40897.500194749904,0.019047618956916146
8724,Scrub cuoio capelluto detox - MENTA BIO E ROSMARINO (100 ml)__BIOSTORIE__ITALIA,142.0,1173.000008907643,0.12105711758027828
8730,Scrub cuoio capelluto detox - MENTA BIO E ROSMARINO (100 ml)__E-RETAILERS__ITALIA,173.0,4941.40003999998,0.03501032067826686
8734,Scrub cuoio capelluto detox - MENTA BIO E ROSMARINO (100 ml)__NEGOZI AL DETTAGLIO__ITALIA,339.0,6169.499895223853,0.054947727653328664
8928,Shampoo anti-caduta (150 ml)__E-RETAILERS__ITALIA,894.0,6880.054624861157,0.1299408287791089
8951,Shampoo antiossidante - MIRTILLO BIO E ARGININA (200 ml)*__BIOSTORIE__ITALIA,287.0,8137.800026999986,0.035267516902329564
8956,Shampoo antiossidante - MIRTILLO BIO E ARGININA (200 ml)*__NEGOZI AL DETTAGLIO__ITALIA,291.0,13119.400009499996,0.02218089240279903
8968,Shampoo neutro - BIO EXTRAVERGINE (200 ml)__DISTRIBUTORI__REPUBBLICA CECA,216.0,2700.0005731852475,0.07999998301673701
9041,Shampoo riequilibrante - SALVIA BIO E LIMONE (200 ml)__CATENA DI NEGOZI__ITALIA,711.0,8301.005157388594,0.08565227782892655
9048,Shampoo riequilibrante - SALVIA BIO E LIMONE (200 ml)__DISTRIBUTORI__ROMANIA,110.0,3365.3972616577503,0.032685591461441746
9136,Shampoo solido purificante - BARDANA BIO E SPIRULINA (50 g)__DISTRIBUTORI__ITALIA,227.0,1359.2573689345736,0.16700295704700086
9191,Shampoo solido rinforzante - CALENDULA BIO E AMMINOACIDI (50 g)__NEGOZI AL DETTAGLIO__ITALIA,2878.0,11529.635449012836,0.24961760610101627
9327,Siero bioattivo uniformante (15 ml)__E-RETAILERS__ITALIA,259.0,1677.097261579116,0.15443350003215173
9375,Silicone vegetale + Amla - Attivo disciplinante capelli (30 ml)__DISTRIBUTORI__ROMANIA,105.0,3365.3972616577503,0.03119988275864894
9471,Spazzolino fibra vegetale setole medie__E-RETAILERS__ITALIA,499.0,1664.0153646075203,0.29987703876622296
9545,Stay matte - Crema viso primer opacizzante e levigante (50 ml)__E-RETAILERS__ITALIA,811.0,3066.9162934649494,0.2644349967190484
9834,Tinta vegetale color castagno - INDRANI (100 g)__E-RETAILERS__AUSTRIA,360.0,1590.6164592500065,0.22632734491490428
9835,Tinta vegetale color castagno - INDRANI (100 g)__E-RETAILERS__ITALIA,1974.0,9770.68312389293,0.20203295664894103
9936,Tinta vegetale color rame - PARVATI (100 g)__E-RETAILERS__AUSTRIA,200.0,1349.1707595814214,0.14823920439993063
10243,Vitamina E naturale (25 ml) R-PET__E-RETAILERS__AUSTRIA,600.0,2370.176855905058,0.25314566653756665
10371,WOW Siero rinforzante ciglia&sopracciglia (10 ml)__E-RETAILERS__ITALIA,1675.0,6178.900025499989,0.271083848757443
10649,maxi Shampoo neutro - BIO EXTRAVERGINE (1000 ml)__E-RETAILERS__AUSTRIA,128.0,3275.773620050376,0.039074739236111065
10698,maxi Shampoo rinforzante - GIRASOLE BIO E ARANCIO (1000 ml)__NEGOZI AL DETTAGLIO__ITALIA,206.0,1310.437203395385,0.1571994441750031
7,ARANCIA E CANNELLA Lanterna - Sapone arancia e cannella & spugna cotone e canapa__E-RETAILERS__ITALIA,120.0,0.0,inf
9,ARANCIA E CANNELLA Lanterna - Sapone arancia e cannella & spugna cotone e canapa__LASAPONARIA E-COMMERCE__ITALIA,3373.0,1.6735155393578812e-33,2.0155175859879984e+36
12,ARANCIA E CANNELLA Lanterna - Sapone arancia e cannella & spugna cotone e canapa__PRIVATE LABEL__ITALIA,1170.0,38.400000000000205,30.468749999999837
